昵称,地区,时间,评论
管人不会管人,来自北京,2022-10-27 14:47:03,这个台风对于南方旱情来说是好台风还是坏台风
喝醋的孩子,来自上海,2022-10-27 13:22:21,2222台风[doge]
谁rua了我的juju,来自广东,2022-10-27 12:44:26,"怎么拐弯了，来广东玩啊""[单身青蛙]"""
Happy_life2010,来自辽宁,2022-10-27 11:28:07,冬台风[喵喵]
古光英月,来自广东,2022-10-27 14:09:48,回复<a href='/n/Happy_life2010'>@Happy_life2010</a>:广东入秋都难，还想冬
Happy_life2010,来自辽宁,2022-10-27 13:17:04,回复<a href='/n/风之恋199910'>@风之恋199910</a>:对啊[doge]
风之恋199910,来自广东,2022-10-27 11:52:44,华南哪有这么快冬，以为东北地区啊[允悲]
moliao23,来自福建,2022-10-27 10:57:22,来福建吧
熊猫吴三岁,来自四川,2022-10-27 10:46:37,来包邮区
___一度,来自广东,2022-10-27 10:26:29,我就想知道他会给广州带来雨水吗
咖啡要加辣椒酱,来自广东,2022-10-27 10:08:03,个人觉得，这是近期最好的消息了[污]
旧夜残年,来自浙江,2022-10-27 10:07:13,人家就叫买提了！[doge][doge][doge][doge]
谭小彪,来自广东,2022-10-27 10:00:26,直奔大鸡腿省[笑cry]
wuli枝头月,来自福建,2022-10-27 09:58:28,会来胡建么
揽_睡袋,来自广东,2022-10-27 09:56:20,[doge]台风名叫啥？？？
儒雅书香,来自福建,2022-10-27 09:50:30,买提？
刀闸阀陶瓷阀,来自浙江,2022-10-27 09:49:27,这名字和朝鲜一点也不搭啊[笑cry]
silencewhsipe,来自湖南,2022-10-27 09:43:51,可能能缓解旱情的台风
虫文亻子,来自广东,2022-10-27 09:41:14,第2222号佳丽 一个炸[doge]
只挂东南枝丷,来自广西,2022-10-27 09:40:04,会吹到我广西吗，太干旱了[裂开]
常洛闻,来自吉林,2022-10-29 18:50:03,诸葛亮借东风，大张伟借台风。
Broadside_,来自上海,2022-10-27 16:03:14,这名字取得多冒昧啊
放生矿泉水,来自广东,2022-10-27 14:46:51,"老广州回来寻根探亲吗""[老师好]"""
小啤Derek,来自广东,2022-10-27 14:28:51,黑人问号❓
想吃烤冷面烤冷面烤冷面烤冷面,来自辽宁,2022-10-27 13:57:35,非洲来的台风是吧？
王牌蘸酱,来自浙江,2022-10-27 18:11:11,黑旋风是吧
雨蓓的风铃,来自广东,2022-10-28 17:37:37,这台风是不是有个别名叫小黑子[doge]
粉虹小甜甜,来自湖北,2022-10-27 22:04:44,尼……
粉虹小甜甜,来自湖北,2022-10-27 21:52:49,[思考]
垃圾君的小忍A梦,来自广东,2022-10-27 19:09:17,在广州登陆
魔法坦克斯基,来自广东,2022-10-27 18:39:42,阳光彩虹小白马，滴滴哒滴滴哒
猫崎狂三,来自贵州,2022-10-27 17:36:05,内个[doge]？还向广东方向。超
-聂毛毛,来自海南,2022-10-27 16:49:13,不来海南吧
benzhan008,来自中国香港,2022-10-27 15:29:29,解放大张伟
海豚耍大刀,来自江苏,2022-10-27 15:05:03,我萨尼格？
只愿转身瞬间,来自广西,2022-10-27 14:38:48,将将以😂
HNRQL,来自天津,2022-10-27 14:37:16,好名字，好名字啊！
DoucheBaaag,来自浙江,2022-10-27 14:00:16,黑旋风
字运臣,来自广东,2022-10-27 09:41:43,从名字来看应该会在广州登陆
wandiandraorao,来自广西,2022-10-27 11:22:08,往哪走[吃瓜]
单一气团,来自安徽,2022-10-27 10:52:05,菲律宾：怎么又是我[二哈][二哈][二哈][二哈]
山东技师学院网络一班56号,来自山东,2022-10-27 10:02:28,确定登陆菲律宾？[笑cry][笑cry]不是前几天还在吵架么[笑cry][笑cry]副高真断了？
喵呜咪嘎嘎嘎,来自福建,2022-11-02 08:38:36,终于下雨了，乖台风～
新仙界魔尊,来自辽宁,2022-10-28 08:27:34,<a href='/n/祤灬黯'>@祤灬黯</a>
祤灬黯,来自西班牙,2022-10-28 14:26:55,大张伟：专业！
Chengwei_伟,来自黑龙江,2022-10-28 08:10:48,<a href='/n/丛珊珊-'>@丛珊珊-</a> 小心台风
给宝先森倒Qooer的酷儿本人,来自四川,2022-10-27 21:04:58,<a href='/n/放荡不羁爱自由的胖砸'>@放荡不羁爱自由的胖砸</a>
施雷_蝶衣_铃铛第三个号,来自上海,2022-10-27 20:25:18,"[费解][允悲][允悲][doge][允悲]//<a href='/n/iamsjz'>@iamsjz</a>: 这尼格台风去对地方啦//<a href='/n/瑟颜瑟语'>@瑟颜瑟语</a>:什么黑色幽默//<a href='/n/黑黑_gunner'>@黑黑_gunner</a>:这台风[费解][允悲][允悲][doge][允悲][费解][允悲][允悲][doge][允悲]警告了//<a href='/n/pd爱困觉'>@pd爱困觉</a>://<a href='/n/肉呆大魔王'>@肉呆大魔王</a>:直奔广东去的台风，让整件事儿的喜剧效果，达到了巅峰。//<a href='/n/王乔'>@王乔</a>: 你这个台风礼貌嘛？[费解][允悲][允悲][doge][允悲]//<a href='/n/latter21'>@latter21</a>:<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8F%B0%E9%A3%8E%E5%B0%BC%E6%A0%BC%23"" data-hide="""">[费解][允悲][允悲][doge][允悲]</a> n........[费解][允悲][允悲][doge][允悲]"
镇摸鱼专业户乄,来自吉林,2022-10-27 14:56:27,[doge]尼格来了
Hayon_yu,来自广东,2022-10-27 12:00:29,台风与广东说拜拜[允悲]
邵1314哥,来自福建,2022-10-27 11:57:49,<a href='/n/我爱54_'>@我爱54_</a> 尼格买提来了[doge][doge][doge][doge]<a href='/n/小谭---Seven'>@小谭---Seven</a>
CountrballsFan,来自江西,2022-10-27 11:32:44,看到这路径我都为尼格担心除名[doge]
一曲离殇Vae,来自湖北,2022-10-27 11:00:09,广州：别来沾边！
种花家麦田,来自浙江,2022-10-27 10:02:14,"快来浙江""[苦涩]""都供水都开一停一"
拱墅巴乔孙一峰,来自陕西,2022-10-27 09:39:49,这台风名字不够zzzq，黑命贵正在赶来与台风搏斗[笑哈哈]
